# Capture histories exported from 'ms.ch' 
# Mon Apr 05 7:09:37 AM 2021 
# Session ID Occasion Detector Sex 
EShores_2016 Leopard_African_Male_5_4 1 EShores_2016_Station12 2
EShores_2016 Leopard_African_Male_5_4 1 EShores_2016_Station13 2
EShores_2016 Leopard_African_Male_5_4 1 EShores_2016_Station14 2
EShores_2016 Leopard_African_Male_5_4 1 EShores_2016_Station14 2
EShores_2016 Leopard_African_Male_5_4 1 EShores_2016_Station14 2
EShores_2016 Leopard_African_Male_5_4 1 EShores_2016_Station14 2
EShores_2016 Leopard_African_Male_5_4 1 EShores_2016_Station15 2
EShores_2016 Leopard_African_Male_5_4 1 EShores_2016_Station15 2
EShores_2016 Leopard_African_Male_5_4 1 EShores_2016_Station9 2
EShores_2016 Leopard_African_Male_5_43 1 EShores_2016_Station29 2
EShores_2016 Leopard_African_Male_5_43 1 EShores_2016_Station40 2
EShores_2016 Leopard_African_Male_5_58 1 EShores_2016_Station33 2
EShores_2016 Leopard_African_Male_5_58 1 EShores_2016_Station36 2
EShores_2016 Leopard_African_Male_5_58 1 EShores_2016_Station37 2
EShores_2016 Leopard_African_Male_5_58 1 EShores_2016_Station37 2
EShores_2016 Leopard_African_Unknown_5_21 1 EShores_2016_Station9 NA
EShores_2016 Leopard_African_Unknown_5_21 1 EShores_2016_Station9 NA
HiP_2016 Leopard_African_Female_2_123 1 HiP_2016_Station3 1
HiP_2016 Leopard_African_Female_2_18 1 HiP_2016_Station11 1
HiP_2016 Leopard_African_Female_2_18 1 HiP_2016_Station11 1
HiP_2016 Leopard_African_Female_2_18 1 HiP_2016_Station11 1
HiP_2016 Leopard_African_Female_2_18 1 HiP_2016_Station18 1
HiP_2016 Leopard_African_Female_2_18 1 HiP_2016_Station18 1
HiP_2016 Leopard_African_Female_2_3 1 HiP_2016_Station12 1
HiP_2016 Leopard_African_Female_2_3 1 HiP_2016_Station8 1
HiP_2016 Leopard_African_Female_2_3 1 HiP_2016_Station8 1
